word,meaning
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
prevail,vi. 盛行，流行；战胜，获胜
accumulation,n. 积聚，累积；堆积物
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
devastate,vt. 毁灭；毁坏
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
threshold,n. 入口；门槛；开始；极限；临界值
compendium,n. 纲要；概略
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
deficit,n. 赤字；不足额
radiation,n. 辐射；发光；放射物
inspection,n. 视察，检查
surgery,n. 外科；外科手术；手术室；诊疗室
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
elicitation,n. 引出；诱出；抽出
location,n. 位置（形容词locational）；地点；外景拍摄场地
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
workmanship,n. 手艺，工艺；技巧
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
primarily,adv. 首先；主要地，根本上
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
adaptation,n. 适应；改编；改编本，改写本
resourceful,adj. 资源丰富的；足智多谋的；机智的
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
vitality,n. 活力，生气；生命力，生动性
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
renaissance,n. 文艺复兴（欧洲14至17世纪）
consignment,n. 委托；运送；托付物
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
laser,n. 激光
establishment,n. 确立，制定；公司；设施
